"TI","AB"
"E-SENSING AND NANOSCALE-SENSING DEVICES ASSOCIATED WITH DATA PROCESSING ALGORITHMS APPLIED TO FOOD QUALITY CONTROL: A SYSTEMATIC REVIEW","DEVICES OF HUMAN-BASED SENSES SUCH AS E-NOSES, E-TONGUES AND E-EYES CAN BE USED TO ANALYZE DIFFERENT COMPOUNDS IN SEVERAL FOOD MATRICES. THESE SENSORS ALLOW THE DETECTION OF ONE OR MORE COMPOUNDS PRESENT IN COMPLEX FOOD SAMPLES, AND THE RESPONSES OBTAINED CAN BE USED FOR SEVERAL GOALS WHEN DIFFERENT CHEMOMETRIC TOOLS ARE APPLIED. IN THIS SYSTEMATIC REVIEW, WE USED PREFERRED REPORTING ITEMS FOR SYSTEMATIC REVIEWS AND META-ANALYSIS GUIDELINES, TO ADDRESS ISSUES SUCH AS E-SENSING WITH CHEMOMETRIC METHODS FOR FOOD QUALITY CONTROL (FQC). A TOTAL OF 109 ELIGIBLE ARTICLES WERE SELECTED FROM PUBMED, SCOPUS AND WEB OF SCIENCE. THUS, WE PREDICTED THAT THE ASSOCIATION BETWEEN E-SENSING AND CHEMOMETRIC TOOLS IS ESSENTIAL FOR FQC. MOST STUDIES HAVE APPLIED PRELIMINARY APPROACHES LIKE EXPLORATORY ANALYSIS, WHILE THE CLASSIFICATION/REGRESSION METHODS HAVE BEEN LESS INVESTIGATED. IT IS WORTH MENTIONING THAT NON-LINEAR METHODS BASED ON ARTIFICIAL INTELLIGENCE/MACHINE LEARNING, IN MOST CASES, HAD CLASSIFICATION/REGRESSION PERFORMANCES SUPERIOR TO NON-LINER, ALTHOUGH THEIR APPLICATIONS WERE SEEN LESS OFTEN. ANOTHER APPROACH THAT HAS GENERATED PROMISING RESULTS IS THE DATA FUSION BETWEEN E-SENSING DEVICES OR IN CONJUNCTION WITH OTHER ANALYTICAL TECHNIQUES. FURTHERMORE, SOME FUTURE TRENDS IN THE APPLICATION OF MINIATURIZED DEVICES AND NANOSCALE SENSORS ARE ALSO DISCUSSED."
"BLOCKCHAIN TECHNOLOGY FOR A SUSTAINABLE AGRI-FOOD SUPPLY CHAIN","PURPOSE THE PRESENT PAPER IS AIMED AT 1) PERFORMING A SYSTEMATIC LITERATURE REVIEW (SLR) ON APPLICATIONS IN THE PERSPECTIVE OF SUSTAINABLE AGRI-FOOD SUPPLY CHAIN (SC) OF BLOCKCHAIN TECHNOLOGY (BCT); 2) ANALYZING THE SELECTED LITERATURE, FOCUSING ON THE ADVANTAGES OF THE SUSTAINABLE USES OF THE BLOCKCHAIN OF THE AFOREMENTIONED SC AND 3) PRESENTING AN OUTLOOK AND RESEARCH DIRECTIONS CAPABLE OF ADDRESSING UNRESOLVED PROBLEMS. DESIGN/METHODOLOGY/APPROACH THE SLR WAS CONDUCTED USING DETAILED CRITERIA TO IDENTIFY ACADEMIC ARTICLES. MOREOVER, SPECIFIC KEYWORDS AND DATABASES WERE USED. THE TIME FRAME CONSIDERED INCLUDED THE YEARS 2010-2020. FINDINGS THE REVIEW ANALYSIS INDICATES THAT THE USE OF BCT OR BCT SUPPORTED BY ICT/IOT CONTRIBUTES TO SUSTAINABILITY OF AGRI-FOOD PRODUCTION. HOWEVER, THIS TECHNOLOGY CAN LEAD TO SEVERAL CHALLENGES SUCH AS SCALABILITY, PRIVACY LEAKAGE, HIGH COST AND CONNECTIVITY PROBLEMS. RESEARCH LIMITATIONS/IMPLICATIONS THE PAPER DEMONSTRATES THAT BCT CAN WIDELY USE AGRI-FOOD SUPPLY CHAIN DUE TO ITS INTRINSIC CHARACTERISTICS. HOWEVER, IT IS NOT EXCLUDED THAT THE CRITERIA CHOSEN MAY NOT HAVE IDENTIFIED IMPORTANT ARTICLES REGARDING BCT, THE AGRI-FOOD SECTOR AND SUSTAINABILITY. ORIGINALITY/VALUE ALTHOUGH THE BODY OF ACADEMIC LITERATURE PUBLISHED ON THIS TOPIC IS EXPANSIVE, THE EFFECT OF BCT ON THE AGRI-FOOD SC'S SUSTAINABILITY ASPECTS HAS NOT YET BEEN ADEQUATELY ANALYZED. THUS, THE ARTICLE IS AIMED AT INVESTIGATING HOW BCT IS USED IN THE SC. IN PARTICULAR, THE ARTICLE IS INTENDED TO UPDATE INFORMATION ABOUT BCT AND ITS IMPACT ON SUSTAINABILITY."
"MACHINE LEARNING TECHNIQUES FOR ANALYSIS OF HYPERSPECTRAL IMAGES TO DETERMINE QUALITY OF FOOD PRODUCTS: A REVIEW","NON-DESTRUCTIVE TESTING TECHNIQUES HAVE GAINED IMPORTANCE IN MONITORING FOOD QUALITY OVER THE YEARS. HYPERSPECTRAL IMAGING IS ONE OF THE IMPORTANT NON-DESTRUCTIVE QUALITY TESTING TECHNIQUES WHICH PROVIDES BOTH SPATIAL AND SPECTRAL INFORMATION. ADVANCEMENT IN MACHINE LEARNING TECHNIQUES FOR RAPID ANALYSIS WITH HIGHER CLASSIFICATION ACCURACY HAVE IMPROVED THE POTENTIAL OF USING THIS TECHNIQUE FOR FOOD APPLICATIONS. THIS PAPER PROVIDES AN OVERVIEW OF THE APPLICATION OF DIFFERENT MACHINE LEARNING TECHNIQUES IN ANALYSIS OF HYPERSPECTRAL IMAGES FOR DETERMINATION OF FOOD QUALITY. IT COVERS THE PRINCIPLE UNDERLYING HYPERSPECTRAL IMAGING, THE ADVANTAGES, AND THE LIMITATIONS OF EACH MACHINE LEARNING TECHNIQUE. THE MACHINE LEARNING TECHNIQUES EXHIBITED RAPID ANALYSIS OF HYPERSPECTRAL IMAGES OF FOOD PRODUCTS WITH HIGH ACCURACY THEREBY ENABLING ROBUST CLASSIFICATION OR REGRESSION MODELS. THE SELECTION OF EFFECTIVE WAVELENGTHS FROM THE HYPERSPECTRAL DATA IS OF PARAMOUNT IMPORTANCE SINCE IT GREATLY REDUCES THE COMPUTATIONAL LOAD AND TIME WHICH ENHANCES THE SCOPE FOR REAL TIME APPLICATIONS. DUE TO THE FEATURE LEARNING NATURE OF DEEP LEARNING, IT IS ONE OF THE MOST PROMISING AND POWERFUL TECHNIQUES FOR REAL TIME APPLICATIONS. HOWEVER, THE FIELD OF DEEP LEARNING IS RELATIVELY NEW AND NEED FURTHER RESEARCH FOR ITS FULL UTILIZATION. SIMILARLY, LIFELONG MACHINE LEARNING PAVES THE WAY FOR REAL TIME HSI APPLICATIONS BUT NEEDS FURTHER RESEARCH TO INCORPORATE THE SEASONAL VARIATIONS IN FOOD QUALITY. FURTHER, THE RESEARCH GAPS IN MACHINE LEARNING TECHNIQUES FOR HYPERSPECTRAL IMAGE ANALYSIS, AND THE PROSPECTS ARE DISCUSSED."
"DATA MINING/MACHINE LEARNING METHODS IN FOODOMICS","FOODOMICS AIMS TO INVESTIGATE THE EFFECTS OF FOOD ON HEALTH BY COLLECTING A LARGE AMOUNT OF DATA FROM WHICH THE RELEVANT INFORMATION IS EXTRACTED USING DATA MINING METHODS. NEVERTHELESS, IT CAN BE STATED THAT THEIR USE IS SUBORDINATE TO SOFTWARE IMPLEMENTED ON CERTAIN PLATFORMS SINCE A LACK OF EXPERIENCE IS OFTEN NOTED IN RESEARCHERS. THE PRESENT PAPER IS AIMED TO PROVIDE AN OVERVIEW ON THE LATEST RESEARCH ADVANCES DESCRIBING DATA ANALYSIS PROCESS IN THE UNTARGETED APPROACH USING DATA MINING METHODS WHEN ANALYTICAL TECHNIQUES SUCH AS NMR, CHROMATOGRAPHY-MS AND 2D CHROMATOGRAPHY ARE MAINLY EMPLOYED. MOREOVER, IT EMPHASIZES THE GAPS THAT STILL NEED TO BE FILLED IN THE USE OF DATA MINING METHODS. FINALLY, THE TERMINOLOGY EMPLOYED IN THIS FIELD IS ALSO EXPLAINED AND DISCUSSED."
"EMERGING APPLICATIONS OF MACHINE LEARNING IN FOOD SAFETY","FOOD SAFETY CONTINUES TO THREATEN PUBLIC HEALTH. MACHINE LEARNING HOLDS POTENTIAL IN LEVERAGING LARGE, EMERGING DATA SETS TO IMPROVE THE SAFETY OF THE FOOD SUPPLY AND MITIGATE THE IMPACT OF FOOD SAFETY INCIDENTS. FOODBORNE PATHOGEN GENOMES AND NOVEL DATA STREAMS, INCLUDING TEXT, TRANSACTIONAL, AND TRADE DATA, HAVE SEEN EMERGING APPLICATIONS ENABLED BY A MACHINE LEARNING APPROACH, SUCH AS PREDICTION OF ANTIBIOTIC RESISTANCE, SOURCE ATTRIBUTION OF PATHOGENS, AND FOODBORNE OUTBREAK DETECTION AND RISK ASSESSMENT. IN THIS ARTICLE, WE PROVIDE A GENTLE INTRODUCTION TO MACHINE LEARNING IN THE CONTEXT OF FOOD SAFETY AND AN OVERVIEW OF RECENT DEVELOPMENTS AND APPLICATIONS. WITH MANY OF THESE APPLICATIONS STILL IN THEIR NASCENCE, GENERAL AND DOMAINSPECIFIC PITFALLS AND CHALLENGES ASSOCIATED WITH MACHINE LEARNING HAVE BEGUN TO BE RECOGNIZED AND ADDRESSED, WHICH ARE CRITICAL TO PROSPECTIVE USE AND FUTURE DEPLOYMENT OF LARGE DATA SETS AND THEIR ASSOCIATED MACHINE LEARNING MODELS FOR FOOD SAFETY APPLICATIONS."
"INTERNET OF NONTHERMAL FOOD PROCESSING TECHNOLOGIES (IONTP): FOOD INDUSTRY 4.0 AND SUSTAINABILITY","WITH THE INTRODUCTION OF INDUSTRY 4.0, AND SMART FACTORIES ACCORDINGLY, THERE ARE NEW OPPORTUNITIES TO IMPLEMENT ELEMENTS OF INDUSTRY 4.0 IN NONTHERMAL PROCESSING. MOREOVER, WITH APPLICATION OF INTERNET OF THINGS (IOT), SMART CONTROL OF THE PROCESS, BIG DATA OPTIMIZATION, AS WELL AS SUSTAINABLE PRODUCTION AND MONITORING, THERE IS A NEW ERA OF INTERNET OF NONTHERMAL FOOD PROCESSING TECHNOLOGIES (IONTP). NONTHERMAL TECHNOLOGIES INCLUDE HIGH POWER ULTRASOUND, PULSED ELECTRIC FIELDS, HIGH VOLTAGE ELECTRICAL DISCHARGE, HIGH PRESSURE PROCESSING, UV-LED, PULSED LIGHT, E-BEAM, AND ADVANCED THERMAL FOOD PROCESSING TECHNIQUES INCLUDE MICROWAVE PROCESSING, OHMIC HEATING AND HIGH-PRESSURE HOMOGENIZATION. THE AIM OF THIS REVIEW WAS TO BRING IN FRONT NECESSITY TO EVALUATE POSSIBILITIES OF IMPLEMENTING SMART SENSORS, ARTIFICIAL INTELLIGENCE (AI), BIG DATA, ADDITIVE TECHNOLOGIES WITH NONTHERMAL TECHNOLOGIES, WITH THE POSSIBILITY TO CREATE SMART FACTORIES TOGETHER WITH STRONG EMPHASIS ON SUSTAINABILITY. THIS PAPER BRINGS AN OVERVIEW ON DIGITALIZATION, IOT, ADDITIVE TECHNOLOGIES (3D PRINTING), CLOUD DATA STORAGE AND SMART SENSORS INCLUDING TWO SWOT ANALYSIS ASSOCIATED WITH IONTPS AND SUSTAINABILITY. IT IS OF HIGH IMPORTANCE TO PERFORM LIFE CYCLE ASSESSMENT (LCA), TO QUANTIFY (EN)-ENVIRONMENTAL DIMENSION; (SO)-SOCIAL DIMENSION AND (EC)-ECONOMIC DIMENSION. SWOT ANALYSIS SHOWED: POTENTIAL FOR ENERGY SAVING DURING FOOD PROCESSING; OPTIMIZED OVERALL ENVIRONMENTAL PERFORMANCE; LOWER MANUFACTURING COST; DEVELOPMENT OF ECO-FRIENDLY PRODUCTS; HIGHER LEVEL OF HEALTH AND SAFETY DURING FOOD PROCESSING AND BETTER WORK CONDITION FOR WORKERS. NONTHERMAL AND ADVANCED THERMAL TECHNOLOGIES CAN BE APPLIED ALSO AS SUSTAINABLE TECHNIQUES WORKING IN LINE WITH THE SUSTAINABLE DEVELOPMENT GOALS (SDGS) AND AGENDA 2030 ISSUED BY UNITED NATIONS (UN)."
"A REVIEW ON MEAT QUALITY EVALUATION METHODS BASED ON NON-DESTRUCTIVE COMPUTER VISION AND ARTIFICIAL INTELLIGENCE TECHNOLOGIES","INCREASING MEAT DEMAND IN TERMS OF BOTH QUALITY AND QUANTITY IN CONJUNCTION WITH FEEDING A GROWING POPULATION HAS RESULTED IN REGULATORY AGENCIES IMPOSING STRINGENT GUIDELINES ON MEAT QUALITY AND SAFETY. OBJECTIVE AND ACCURATE RAPID NON-DESTRUCTIVE DETECTION METHODS AND EVALUATION TECHNIQUES BASED ON ARTIFICIAL INTELLIGENCE HAVE BECOME THE RESEARCH HOTSPOT IN RECENT YEARS AND HAVE BEEN WIDELY APPLIED IN THE MEAT INDUSTRY. THEREFORE, THIS REVIEW SURVEYED THE KEY TECHNOLOGIES OF NON-DESTRUCTIVE DETECTION FOR MEAT QUALITY, MAINLY INCLUDING ULTRASONIC TECHNOLOGY, MACHINE (COMPUTER) VISION TECHNOLOGY, NEAR-INFRARED SPECTROSCOPY TECHNOLOGY, HYPERSPECTRAL TECHNOLOGY, RAMAN SPECTRA TECHNOLOGY, AND ELECTRONIC NOSE/TONGUE. THE TECHNICAL CHARACTERISTICS AND EVALUATION METHODS WERE COMPARED AND ANALYZED; THE PRACTICAL APPLICATIONS OF NON-DESTRUCTIVE DETECTION TECHNOLOGIES IN MEAT QUALITY ASSESSMENT WERE EXPLORED; AND THE CURRENT CHALLENGES AND FUTURE RESEARCH DIRECTIONS WERE DISCUSSED. THE LITERATURE PRESENTED IN THIS REVIEW CLEARLY DEMONSTRATE THAT PREVIOUS RESEARCH ON NON-DESTRUCTIVE TECHNOLOGIES ARE OF GREAT SIGNIFICANCE TO ENSURE CONSUMERS' URGENT DEMAND FOR HIGH-QUALITY MEAT BY PROMOTING AUTOMATIC, REALTIME INSPECTION AND QUALITY CONTROL IN MEAT PRODUCTION. IN THE NEAR FUTURE, WITH EVERGROWING APPLICATION REQUIREMENTS AND RESEARCH DEVELOPMENTS, IT IS A TREND TO INTEGRATE SUCH SYSTEMS TO PROVIDE EFFECTIVE SOLUTIONS FOR VARIOUS GRAIN QUALITY EVALUATION APPLICATIONS."
"ADVANCES IN INFRARED SPECTROSCOPY COMBINED WITH ARTIFICIAL NEURAL NETWORK FOR THE AUTHENTICATION AND TRACEABILITY OF FOOD","THE AUTHENTICATION AND TRACEABILITY OF FOOD ATTRACT MORE ATTENTION DUE TO THE INCREASING CONSUMER AWARENESS REGARDING NUTRITION AND HEALTH, BEING A NEW HOTSPOT OF FOOD SCIENCE. INFRARED SPECTROSCOPY (IRS) COMBINED WITH SHALLOW NEURAL NETWORK HAS BEEN WIDELY PROVEN TO BE AN EFFECTIVE FOOD ANALYSIS TECHNOLOGY. AS AN ADVANCED DEEP LEARNING TECHNOLOGY, DEEP NEURAL NETWORK HAS ALSO BEEN EXPLORED TO ANALYZE AND SOLVE FOOD-RELATED IRS PROBLEMS IN RECENT YEARS. THE PRESENT REVIEW BEGINS WITH BRIEF INTRODUCTIONS TO IRS AND ARTIFICIAL NEURAL NETWORK (ANN), INCLUDING SHALLOW NEURAL NETWORK AND DEEP NEURAL NETWORK. MORE NOTABLY, IT EMPHASIZES THE COMPREHENSIVE OVERVIEW OF THE ADVANCES OF THE TECHNOLOGY COMBINED IRS WITH ANN FOR THE AUTHENTICATION AND TRACEABILITY OF FOOD, BASED ON RELEVANT LITERATURE FROM 2014 TO EARLY 2020. IN DETAIL, THE TYPES OF IRS AND ANN, MODELING PROCESSES, EXPERIMENTAL RESULTS, AND MODEL COMPARISONS IN RELATED STUDIES ARE DESCRIBED TO SET FORTH THE USAGE AND PERFORMANCE OF THE COMBINED TECHNOLOGY FOR FOOD ANALYSIS. THE COMBINED TECHNOLOGY SHOWS EXCELLENT ABILITY TO AUTHENTICATE FOOD QUALITY AND SAFETY, INVOLVING CHEMICAL COMPONENTS, FRESHNESS, MICROORGANISMS, DAMAGES, TOXIC SUBSTANCES, AND ADULTERATION. AS WELL, IT SHOWS EXCELLENT PERFORMANCE IN THE TRACEABILITY OF FOOD VARIETY AND ORIGIN. THE ADVANTAGES, CURRENT LIMITATIONS, AND FUTURE TRENDS OF THE COMBINED TECHNOLOGY ARE FURTHER DISCUSSED TO PROVIDE A THOUGHTFUL VIEWPOINT ON THE CHALLENGES AND EXPECTATIONS OF ONLINE APPLICATIONS FOR THE AUTHENTICATION AND TRACEABILITY OF FOOD."
"COMPREHENSIVE STUDY ON APPLICATIONS OF ARTIFICIAL NEURAL NETWORK IN FOOD PROCESS MODELING","ARTIFICIAL NEURAL NETWORK (ANN) IS A SIMPLIFIED MODEL OF THE BIOLOGICAL NERVOUS SYSTEM CONSISTING OF NERVE CELLS OR NEURONS. THE APPLICATION OF ANN TO FOOD PROCESS ENGINEERING IS RELATIVELY NOVEL. ANN HAD BEEN EMPLOYED IN DIVERSE APPLICATIONS LIKE FOOD SAFETY AND QUALITY ANALYSES, FOOD IMAGE ANALYSIS, AND MODELING OF VARIOUS THERMAL AND NON-THERMAL FOOD-PROCESSING OPERATIONS. ANN HAS THE ABILITY TO MAP NONLINEAR RELATIONSHIPS WITHOUT ANY PRIOR KNOWLEDGE AND PREDICTS RESPONSES EVEN WITH INCOMPLETE INFORMATION. EVERY NEURAL NETWORK POSSESSES DATA IN THE FORM OF CONNECTION WEIGHTS INTERCONNECTING LINES BETWEEN THE INPUT TO HIDDEN LAYER NEURONS AND WEIGHTS OF HIDDEN TO OUTPUT LAYER NEURONS, WHICH HAS A SIGNIFICANT ROLE IN PREDICTING THE OUTPUT DATA. THE APPLICATIONS OF ANN IN DIFFERENT UNIT OPERATIONS IN FOOD PROCESSING WERE DESCRIBED THAT INCLUDES THEORETICAL DEVELOPMENTS USING INTELLIGENT CHARACTERISTICS FOR ADAPTABILITY, AUTOMATIC LEARNING, CLASSIFICATION, AND PREDICTION. THE PARALLEL ARCHITECTURE OF ANN RESULTED IN A FAST RESPONSE AND LOW COMPUTATIONAL TIME MAKING IT SUITABLE FOR APPLICATION IN REAL-TIME SYSTEMS OF DIFFERENT FOOD PROCESS OPERATIONS. THE PREDICTED RESPONSES OBTAINED BY THE ANN MODEL EXHIBITED HIGH ACCURACY DUE TO LOWER RELATIVE DEVIATION AND ROOT MEAN SQUARED ERROR AND HIGHER CORRELATION COEFFICIENT. THIS PAPER PRESENTED THE VARIOUS APPLICATIONS OF ANN FOR MODELING NONLINEAR FOOD ENGINEERING PROBLEMS. THE APPLICATION OF ANN IN THE MODELING OF THE PROCESSES SUCH AS EXTRACTION, EXTRUSION, DRYING, FILTRATION, CANNING, FERMENTATION, BAKING, DAIRY PROCESSING, AND QUALITY EVALUATION WAS REVIEWED."
"A CRITICAL REVIEW ON COMPUTER VISION AND ARTIFICIAL INTELLIGENCE IN FOOD INDUSTRY","EMERGING TECHNOLOGIES SUCH AS COMPUTER VISION AND ARTIFICIAL INTELLIGENCE (AI) ARE ESTIMATED TO LEVERAGE THE ACCESSIBILITY OF BIG DATA FOR ACTIVE TRAINING AND YIELDING OPERATIONAL REAL TIME SMART MACHINES AND PREDICTABLE MODELS. THIS PHENOMENON OF APPLYING VISION AND LEARNING METHODS FOR THE IMPROVEMENT OF FOOD INDUSTRY IS TERMED AS COMPUTER VISION AND AI DRIVEN FOOD INDUSTRY. THIS REVIEW CONTRIBUTES TO PROVIDE AN INSIGHT INTO STATE-OF-THE-ART AI AND COMPUTER VISION TECHNOLOGIES THAT CAN ASSIST FARMERS IN AGRICULTURE AND FOOD PROCESSING. THIS PAPER INVESTIGATES VARIOUS SCENARIOS AND USE CASES OF MACHINE LEARNING, MACHINE VISION AND DEEP LEARNING IN GLOBAL PERSPECTIVE WITH THE LENS OF SUSTAINABILITY. IT EXPLAINS THE INCREASING DEMAND TOWARDS THE AGTECH INDUSTRY USING COMPUTER VISION AND AI WHICH MIGHT BE A PATH TOWARDS SUSTAINABLE FOOD PRODUCTION TO FEED THE FUTURE. ALSO, THIS REVIEW TOSSES SOME IMPLICATIONS REGARDING CHALLENGES AND RECOMMENDATIONS IN INCLUSION OF TECHNOLOGIES IN REAL TIME FARMING, SUBSTANTIAL GLOBAL POLICIES AND INVESTMENTS. FINALLY, THE PAPER DISCUSSES THE POSSIBILITY OF USING FOURTH INDUSTRIAL REVOLUTION [4.0 IR] TECHNOLOGIES SUCH AS DEEP LEARNING AND COMPUTER VISION ROBOTICS AS A KEY FOR SUSTAINABLE FOOD PRODUCTION."
"ARTIFICIAL INTELLIGENCE AND SYNTHETIC BIOLOGY APPROACHES FOR HUMAN GUT MICROBIOME","THE GUT MICROBIOME COMPRISES A VARIETY OF MICROORGANISMS WHOSE GENES ENCODE PROTEINS TO CARRY OUT CRUCIAL METABOLIC FUNCTIONS THAT ARE RESPONSIBLE FOR THE MAJORITY OF HEALTH-RELATED ISSUES IN HUMAN BEINGS. THE ADVENT OF THE TECHNOLOGICAL REVOLUTION IN ARTIFICIAL INTELLIGENCE (AI) ASSISTED SYNTHETIC BIOLOGY (SB) APPROACHES WILL PLAY A VITAL ROLE IN THE MODULATING THE THERAPEUTIC AND NUTRITIVE POTENTIAL OF PROBIOTICS. THIS CAN TURN HUMAN GUT AS A RESERVOIR OF BENEFICIAL BACTERIAL COLONIES HAVING AN IMMENSE ROLE IN IMMUNITY, DIGESTION, BRAIN FUNCTION, AND OTHER HEALTH BENEFITS. HENCE, IN THE PRESENT REVIEW, WE HAVE DISCUSSED THE ROLE OF SEVERAL GENE EDITING TOOLS AND APPROACHES IN SYNTHETIC BIOLOGY THAT HAVE EQUIPPED US WITH NOVEL TOOLS LIKE CLUSTERED REGULARLY INTERSPACED SHORT PALINDROMIC REPEATS (CRISPR-CAS) SYSTEMS TO PRECISELY ENGINEER PROBIOTICS FOR DIAGNOSTIC, THERAPEUTIC AND NUTRITIVE VALUE. A BRIEF DISCUSSION OVER THE AI TECHNIQUES TO UNDERSTAND THE METAGENOMIC DATA FROM THE HEALTHY AND DISEASED GUT MICROBIOME IS ALSO PRESENTED. FURTHER, THE ROLE OF AI IN POTENTIALLY IMPACTING THE PACE OF DEVELOPMENTS IN SB AND ITS CURRENT CHALLENGES IS ALSO DISCUSSED. THE REVIEW ALSO DESCRIBES THE HEALTH BENEFITS CONFERRED BY ENGINEERED MICROBES THROUGH THE PRODUCTION OF BIOCHEMICALS, NUTRACEUTICALS, DRUGS OR BIOTHERAPEUTICS MOLECULES ETC. FINALLY, THE REVIEW CONCLUDES WITH THE CHALLENGES AND REGULATORY CONCERNS IN ADOPTING SYNTHETIC BIOLOGY ENGINEERED MICROBES FOR CLINICAL APPLICATIONS. THUS, THE REVIEW PRESENTS A SYNERGISTIC APPROACH OF AI AND SB TOWARD HUMAN GUT MICROBIOME FOR BETTER HEALTH WHICH WILL PROVIDE INTERESTING CLUES TO RESEARCHERS WORKING IN THE AREA OF RAPIDLY EVOLVING FOOD AND NUTRITION SCIENCE."
"INTELLIGENT FOOD PROCESSING: JOURNEY FROM ARTIFICIAL NEURAL NETWORK TO DEEP LEARNING","SINCE ITS INITIATION, ANN BECAME POPULAR AND ALSO PLAYS A KEY ROLE IN ENHANCING THE LATEST TECHNOLOGY. WITH AN INCREASE IN INDUSTRIAL AUTOMATION AND THE INTERNET OF THINGS, NOW IT IS EASIER THAN EVER TO COLLECT DATA AND MONITOR FOOD DRYING, EXTRUSION, AND STERILIZATION, ETC. IN THIS INDUSTRIAL REVOLUTION, THE USES OF ANN ARE FOUND SUCCESSFUL IN FOOD PROCESSING TASKS LIKE FOOD GRADING, SAFETY, AND QUALITY CHECK, ETC. IN RECENT YEARS, ATTENTION ON SHALLOW LEARNING APPROACH (I.E. USE OF EARLIER DEVELOPED ANNS) IN FOOD PROCESSING IS ESCALATING AS RESEARCHERS FOUND IT EXTENSIVE EXPLOITATION IN RESOLVING A LOT OF COMPLEX REAL-WORLD PROBLEMS IN FOOD PROCESSING. IN THIS ROW, DEEP LEARNING TECHNIQUES HAVE NOT LEFT ANY STONE UNTURNED IN THE CONTEXT OF INTELLIGENT FOOD PROCESSING PARADIGM. IN THIS PAPER, A DETAILED ANALYSIS HAS BEEN REPORTED ON THE ADVANCEMENTS OF FOOD PROCESSING USING ANNS, WHICH INCLUDE THE DETAILS JOURNEY FROM SHALLOW LEARNING TO DEEP LEARNING IN THE APPLICATIONS SPACE. SUCH FUSION OF TECHNOLOGY WITH THE FOREFRONT OF MACHINE LEARNING, DEEP LEARNING, AND IMAGE PROCESSING FOR FOOD PROCESSING, IS NOT JUST THE MIXTURE OF HYBRID CONCEPTS, RATHER IT PROVIDES A SCOPE TO CREATE NEW DIMENSIONS AND GROWTH OPPORTUNITIES FOR EACH INNOVATION. (C) 2020 ELSEVIER INC. ALL RIGHTS RESERVED."
"ARTIFICIAL INTELLIGENCE IN THE DESIGN OF THE TRANSITIONS TO SUSTAINABLE FOOD SYSTEMS","FOOD SYSTEMS AND OUR ABILITY TO SECURE FOOD AND NUTRITION FOR CURRENT AND FUTURE GENERATIONS IS CHALLENGED BY POPULATION GROWTH, CLIMATE CHANGE, RESOURCE DEPLETION AND POLLUTION. THE CURRENT AGRICULTURAL AND SUPPLY CHAIN SYSTEMS ARE ONE OF THE MAIN CONTRIBUTORS TO THE ISSUES. TRANSFORMATIONAL, NOT INCREMENTAL CHANGE IS NEEDED TO TRANSITION TO SUSTAINABLE FOOD SYSTEMS CAPABLE OF FEEDING CLOSE TO 10 BILLION PEOPLE IN LESS THAN 30 YEARS. ARTIFICIAL INTELLIGENCE (AI) IS PERVADING ALL PARTS OF FOOD SYSTEMS IN WAYS THAT INDICATE TRANSFORMATIVE SYSTEM CHANGES ARE POSSIBLE. DESIGNERS, AS MEDIATORS BETWEEN PEOPLE, TECHNOLOGY AND THE ENVIRONMENT HAVE A RESPONSIBILITY TO RECOGNISE AND REFLECT ON WAYS AI COULD BRING THE CHANGE NEEDED TO MOVE TO SUSTAINABLE FOOD SYSTEMS. THIS LITERATURE REVIEW IS SITUATED AT THE INTERSECTION OF FOOD SYSTEMS, DESIGN, ARTIFICIAL INTELLIGENCE AND SUSTAINABILITY. THE TRANSDISCIPLINARY APPROACH REVEALS WHAT EXISTS ACROSS THE DISCIPLINES, WHAT CAN BE DONE WITH AI TO TRANSITION TO SUSTAINABLE FOOD SYSTEMS, HOW DESIGN PROPOSES TO APPROACH THE CHANGE, AND WHICH ETHICAL OR PHILOSOPHICAL CONSIDERATIONS START TO EMERGE. THE DISCUSSION REFLECTS ON AI AS A POTENTIAL LEVERAGE POINT TO BRING CHANGES IN THE SYSTEM AND ON THE DESIGNER'S ROLE IN ESTABLISHING THE HUMAN-TECHNOLOGY-ENVIRONMENTAL RELATIONSHIPS. FURTHER RESEARCH AND RECOMMENDATIONS ARE PROVIDED. (C) 2020 ELSEVIER LTD. ALL RIGHTS RESERVED."
